wTask,Description,Actions,Objects
Infrastructure Task 5742,Supervise doors and repair pipes in the lecture halls.,"configure, supervise, paint, mark","fiber cables, handrails, switches, parking sensors, wiring"
Infrastructure Task 5743,Replace faucets and paint doors in the campus grounds.,"approve, assess, test, supervise, repair","security cameras, faucets, classrooms, whiteboards"
Infrastructure Task 5744,Paint corridors and report roofing in the parking lot.,"paint, verify, report, inspect","water tanks, control panels, paint, server room"
Infrastructure Task 5745,Schedule HVAC units and calibrate signs in the laboratory.,"assess, audit, clean, document, configure","fire extinguishers, UPS, corridors, solar panels, roofing"
Infrastructure Task 5746,Plan desks and configure chairs in the academic blocks.,"inspect, document, monitor, mark","HVAC units, signs, landscaping tools, paint"
Infrastructure Task 5747,Report HVAC units and assess generators in the academic blocks.,"schedule, verify, document, repair","faucets, walkways, routers, chairs, doors"
Infrastructure Task 5748,Approve fuel tanks and configure fuel tanks in the laboratory.,"calibrate, schedule, upgrade, install","whiteboards, desks, parking sensors, switches, classrooms"
Infrastructure Task 5749,Schedule parking sensors and repair handrails in the campus grounds.,"document, test, supervise, report","wiring, switches, doors, whiteboards"
Infrastructure Task 5750,Mark landscaping tools and upgrade fuel tanks in the sports complex.,"paint, supervise, audit, calibrate","control panels, security cameras, HVAC units, generators"
Infrastructure Task 5751,Paint ramps and schedule desks in the administration building.,"repair, inspect, report, audit","whiteboards, landscaping tools, HVAC units, exit signs"
Infrastructure Task 5752,Approve security cameras and clean wiring in the campus grounds.,"calibrate, test, assess, document, maintain","whiteboards, signs, classrooms, exit signs"
Infrastructure Task 5753,Audit routers and monitor whiteboards in the campus grounds.,"inspect, monitor, report, assess","corridors, landscaping tools, roofing, lighting fixtures, doors"
Infrastructure Task 5754,Replace security cameras and mark control panels in the lecture halls.,"verify, monitor, calibrate, assess","corridors, switches, generators, parking sensors"
Infrastructure Task 5755,Refuel elevators and configure doors in the library.,"monitor, replace, document, design, plan","switches, fuel tanks, doors, generators, walkways"
Infrastructure Task 5756,Upgrade switches and repair solar panels in the administration building.,"audit, maintain, calibrate, replace, rectify","desks, elevators, switches, roofing"
Infrastructure Task 5757,Paint water tanks and configure fiber cables in the cafeteria.,"audit, refuel, verify, approve","switches, pipes, fire extinguishers, paint, doors"
Infrastructure Task 5758,Refuel solar panels and upgrade solar panels in the library.,"supervise, mark, approve, refuel, clean","fiber cables, wiring, server room, elevators"
Infrastructure Task 5759,Repair pipes and monitor faucets in the lecture halls.,"schedule, mark, install, verify","UPS, security cameras, wiring, pipes, desks"
Infrastructure Task 5760,Install security cameras and monitor fire extinguishers in the academic blocks.,"refuel, audit, report, document","ramps, control panels, corridors, elevators, parking sensors"
Infrastructure Task 5761,Replace handrails and maintain UPS in the library.,"report, plan, monitor, mark, install","ramps, UPS, water tanks, fiber cables, whiteboards"
Infrastructure Task 5762,Replace HVAC units and assess landscaping tools in the academic blocks.,"monitor, mark, schedule, verify, inspect","signs, solar panels, classrooms, roofing, elevators"
Infrastructure Task 5763,Mark landscaping tools and paint fiber cables in the academic blocks.,"upgrade, report, replace, refuel","HVAC units, handrails, fiber cables, faucets"
Infrastructure Task 5764,Report lighting fixtures and upgrade fiber cables in the library.,"test, calibrate, paint, report, refuel","whiteboards, control panels, faucets, elevators"
Infrastructure Task 5765,Plan fuel tanks and assess control panels in the cafeteria.,"test, schedule, inspect, refuel","roofing, paint, signs, switches"
Infrastructure Task 5766,Mark UPS and mark fuel tanks in the student hostels.,"repair, inspect, verify, assess, document","wiring, corridors, switches, control panels"
Infrastructure Task 5767,Audit elevators and test classrooms in the laboratory.,"mark, approve, refuel, install","fire extinguishers, landscaping tools, wiring, handrails, signs"
Infrastructure Task 5768,Inspect desks and report signs in the student hostels.,"install, monitor, audit, design, inspect","exit signs, desks, solar panels, security cameras, corridors"
Infrastructure Task 5769,Refuel fiber cables and mark fiber cables in the sports complex.,"report, plan, upgrade, supervise","parking sensors, classrooms, whiteboards, landscaping tools, lighting fixtures"
Infrastructure Task 5770,Upgrade whiteboards and schedule solar panels in the administration building.,"document, design, configure, replace","switches, corridors, landscaping tools, switches, generators"
Infrastructure Task 5771,Assess fiber cables and repair whiteboards in the campus grounds.,"design, refuel, upgrade, install","paint, pipes, desks, roofing"
Infrastructure Task 5772,Design wiring and audit faucets in the administration building.,"approve, replace, verify, configure, mark","walkways, desks, server room, exit signs"
Infrastructure Task 5773,Approve HVAC units and approve routers in the campus grounds.,"upgrade, test, document, install, repair","faucets, elevators, chairs, wiring"
Infrastructure Task 5774,Supervise signs and design water tanks in the laboratory.,"monitor, upgrade, plan, replace, schedule","fuel tanks, classrooms, control panels, pipes"
Infrastructure Task 5775,Schedule wiring and schedule roofing in the campus grounds.,"configure, install, assess, clean, refuel","HVAC units, fuel tanks, roofing, fire extinguishers"
Infrastructure Task 5776,Upgrade landscaping tools and repair exit signs in the student hostels.,"design, test, approve, replace, audit","solar panels, generators, control panels, roofing"
Infrastructure Task 5777,Clean switches and paint corridors in the student hostels.,"calibrate, supervise, inspect, monitor","UPS, solar panels, corridors, switches, security cameras"
Infrastructure Task 5778,Assess signs and monitor routers in the lecture halls.,"verify, calibrate, document, replace","signs, whiteboards, roofing, solar panels"
Infrastructure Task 5779,Upgrade UPS and maintain chairs in the student hostels.,"assess, rectify, verify, refuel","UPS, roofing, solar panels, fuel tanks, ramps"
Infrastructure Task 5780,Verify server room and configure corridors in the laboratory.,"calibrate, document, verify, install","parking sensors, chairs, paint, roofing, classrooms"
Infrastructure Task 5781,Design paint and audit roofing in the academic blocks.,"approve, replace, audit, refuel, monitor","signs, parking sensors, landscaping tools, UPS"
Infrastructure Task 5782,Configure whiteboards and paint routers in the parking lot.,"plan, report, verify, install, paint","parking sensors, HVAC units, paint, fiber cables"
Infrastructure Task 5783,Test handrails and paint server room in the administration building.,"assess, replace, plan, monitor","wiring, parking sensors, exit signs, pipes, faucets"
Infrastructure Task 5784,Paint server room and clean fire extinguishers in the lecture halls.,"replace, install, schedule, monitor","HVAC units, whiteboards, water tanks, wiring"
Infrastructure Task 5785,Repair ramps and schedule handrails in the laboratory.,"mark, approve, monitor, schedule","exit signs, fiber cables, solar panels, corridors, security cameras"
Infrastructure Task 5786,Audit parking sensors and rectify walkways in the sports complex.,"schedule, supervise, repair, rectify","security cameras, wiring, desks, corridors"
Infrastructure Task 5787,Verify server room and design exit signs in the academic blocks.,"inspect, upgrade, clean, replace, configure","solar panels, elevators, chairs, ramps, signs"
Infrastructure Task 5788,Mark paint and report chairs in the laboratory.,"maintain, rectify, design, mark, plan","HVAC units, fire extinguishers, faucets, UPS"
Infrastructure Task 5789,Monitor server room and inspect wiring in the lecture halls.,"verify, inspect, replace, refuel, mark","solar panels, routers, exit signs, generators, doors"
Infrastructure Task 5790,Verify desks and assess lighting fixtures in the parking lot.,"repair, plan, mark, inspect","roofing, whiteboards, fire extinguishers, water tanks"
Infrastructure Task 5791,Test faucets and assess exit signs in the laboratory.,"audit, clean, install, plan","generators, switches, roofing, fire extinguishers"
Infrastructure Task 5792,Monitor exit signs and paint handrails in the campus grounds.,"schedule, audit, inspect, monitor, install","elevators, switches, security cameras, UPS"
Infrastructure Task 5793,Assess water tanks and refuel control panels in the student hostels.,"assess, mark, replace, maintain, repair","fuel tanks, control panels, HVAC units, desks, switches"
